iShares MSCI World ETF
Fund Holdings as of,"Jul 02, 2025"
Inception Date,"Jan 10, 2012"
Shares Outstanding,"29,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","3,538,528.08","0.07","3,538,528.08","21,337.00","165.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"III","3I GROUP PLC","Financials","Equity","3,523,159.93","0.07","3,523,159.93","63,995.00","55.05","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"CTVA","CORTEVA INC","Materials","Equity","3,499,727.00","0.07","3,499,727.00","45,451.00","77.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","3,498,642.36","0.07","3,498,642.36","27,666.00","126.46","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","3,446,203.94","0.07","3,446,203.94","34,691.00","99.34","United States","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","3,444,963.06","0.07","3,444,963.06","19,866.00","173.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BN","DANONE SA","Consumer Staples","Equity","3,435,145.56","0.07","3,435,145.56","42,051.00","81.69","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","3,431,055.15","0.07","3,431,055.15","14,435.00","237.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrials","Equity","3,423,861.75","0.07","3,423,861.75","29,551.00","115.86","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"LONN","LONZA GROUP AG","Health Care","Equity","3,414,986.70","0.07","3,414,986.70","4,849.00","704.27","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"INVE B","INVESTOR CLASS B","Financials","Equity","3,392,763.80","0.07","3,392,763.80","115,048.00","29.49","Sweden","Nasdaq Omx Nordic","USD","9.55","SEK","-"
"URI","UNITED RENTALS INC","Industrials","Equity","3,392,223.74","0.07","3,392,223.74","4,306.00","787.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","3,379,429.02","0.07","3,379,429.02","17,358.00","194.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WDAY","WORKDAY INC CLASS A","Information Technology","Equity","3,364,258.74","0.07","3,364,258.74","14,151.00","237.74","United States","NASDAQ","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","3,358,508.04","0.07","3,358,508.04","63,753.00","52.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SREN","SWISS RE AG","Financials","Equity","3,331,263.15","0.07","3,331,263.15","19,543.00","170.46","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","3,326,111.25","0.07","3,326,111.25","57,595.00","57.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","3,322,398.72","0.07","3,322,398.72","40,448.00","82.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","3,313,885.38","0.07","3,313,885.38","18,694.00","177.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLB","SCHLUMBERGER NV","Energy","Equity","3,306,772.35","0.07","3,306,772.35","92,085.00","35.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FLUT","FLUTTER ENTERTAINMENT PLC","Consumer Discretionary","Equity","3,271,075.38","0.07","3,271,075.38","11,586.00","282.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","3,238,545.42","0.06","3,238,545.42","56,401.00","57.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NWG","NATWEST GROUP PLC","Financials","Equity","3,235,648.10","0.06","3,235,648.10","502,383.00","6.44","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SRE","SEMPRA","Utilities","Equity","3,218,157.84","0.06","3,218,157.84","43,012.00","74.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","3,217,389.12","0.06","3,217,389.12","75,384.00","42.68","United States","NASDAQ","USD","1.00","USD","-"
"TRP","TC ENERGY CORP","Energy","Equity","3,200,870.83","0.06","3,200,870.83","66,961.00","47.80","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","3,186,978.57","0.06","3,186,978.57","103,426.00","30.81","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"DSV","DSV","Industrials","Equity","3,185,347.79","0.06","3,185,347.79","13,295.00","239.59","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.34","DKK","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","3,172,177.76","0.06","3,172,177.76","38,516.00","82.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPN","EXPERIAN PLC","Industrials","Equity","3,162,794.09","0.06","3,162,794.09","61,667.00","51.29","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","3,132,773.60","0.06","3,132,773.60","82,160.00","38.13","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","3,125,510.32","0.06","3,125,510.32","3,019.00","1,035.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","3,124,694.40","0.06","3,124,694.40","29,632.00","105.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","3,123,859.20","0.06","3,123,859.20","12,320.00","253.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","3,114,308.40","0.06","3,114,308.40","38,856.00","80.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","3,105,444.96","0.06","3,105,444.96","21,276.00","145.96","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","3,099,298.56","0.06","3,099,298.56","49,164.00","63.04","United States","NASDAQ","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","3,093,210.12","0.06","3,093,210.12","44,044.00","70.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","3,069,978.82","0.06","3,069,978.82","45,277.00","67.80","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"DHL","DEUTSCHE POST AG","Industrials","Equity","3,065,520.48","0.06","3,065,520.48","66,270.00","46.26","Germany","Xetra","USD","0.85","EUR","-"
"WCN","WASTE CONNECTIONS INC","Industrials","Equity","3,057,086.50","0.06","3,057,086.50","17,165.00","178.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FICO","FAIR ISAAC CORP","Information Technology","Equity","3,057,172.02","0.06","3,057,172.02","1,659.00","1,842.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GMG","GOODMAN GROUP UNITS","Real Estate","Equity","3,046,554.15","0.06","3,046,554.15","133,037.00","22.90","Australia","Asx - All Markets","USD","1.52","AUD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","3,044,086.60","0.06","3,044,086.60","10,246.00","297.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","3,026,872.42","0.06","3,026,872.42","21,307.00","142.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VOLV B","VOLVO CLASS B","Industrials","Equity","3,011,430.59","0.06","3,011,430.59","106,091.00","28.39","Sweden","Nasdaq Omx Nordic","USD","9.55","SEK","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","3,004,163.03","0.06","3,004,163.03","255,239.00","11.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLN","HALEON PLC","Health Care","Equity","3,002,843.98","0.06","3,002,843.98","593,028.00","5.06","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"ADYEN","ADYEN NV","Financials","Equity","2,993,483.96","0.06","2,993,483.96","1,662.00","1,801.13","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"GIVN","GIVAUDAN SA","Materials","Equity","2,985,231.58","0.06","2,985,231.58","613.00","4,869.87","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"9434","SOFTBANK CORP","Communication","Equity","2,984,043.88","0.06","2,984,043.88","1,923,800.00","1.55","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"CMI","CUMMINS INC","Industrials","Equity","2,979,619.84","0.06","2,979,619.84","8,936.00","333.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NDA FI","NORDEA BANK","Financials","Equity","2,972,448.93","0.06","2,972,448.93","201,917.00","14.72","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.85","EUR","-"
"CPRT","COPART INC","Industrials","Equity","2,971,990.32","0.06","2,971,990.32","60,554.00","49.08","United States","NASDAQ","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","2,965,809.14","0.06","2,965,809.14","38,507.00","77.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","2,962,016.09","0.06","2,962,016.09","179,786.00","16.48","Sweden","Nasdaq Omx Nordic","USD","9.55","SEK","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","2,960,048.64","0.06","2,960,048.64","23,808.00","124.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAS","BASF N","Materials","Equity","2,949,953.86","0.06","2,949,953.86","58,110.00","50.76","Germany","Xetra","USD","0.85","EUR","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","2,943,116.33","0.06","2,943,116.33","5,423.00","542.71","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","2,942,226.80","0.06","2,942,226.80","5,048.00","582.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","2,933,308.80","0.06","2,933,308.80","297,200.00","9.87","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","2,910,011.52","0.06","2,910,011.52","22,126.00","131.52","United States","NASDAQ","USD","1.00","USD","-"
"FERG","FERGUSON ENTERPRISES INC","Industrials","Equity","2,910,081.60","0.06","2,910,081.60","13,144.00","221.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","2,904,338.67","0.06","2,904,338.67","28,151.00","103.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","2,903,305.47","0.06","2,903,305.47","48,644.00","59.68","Germany","Xetra","USD","0.85","EUR","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","2,896,381.53","0.06","2,896,381.53","35,639.00","81.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","2,881,267.18","0.06","2,881,267.18","20,218.00","142.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","2,873,800.32","0.06","2,873,800.32","21,712.00","132.36","United States","NASDAQ","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","2,869,030.32","0.06","2,869,030.32","66,846.00","42.92","United States","NASDAQ","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","2,863,100.88","0.06","2,863,100.88","84,607.00","33.84","United States","NASDAQ","USD","1.00","USD","-"
"O39","OVERSEA-CHINESE BANKING LTD","Financials","Equity","2,855,483.87","0.06","2,855,483.87","221,300.00","12.90","Singapore","Singapore Exchange","USD","1.27","SGD","-"
"ALC","ALCON AG","Health Care","Equity","2,823,758.14","0.06","2,823,758.14","31,601.00","89.36","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"ENGI","ENGIE SA","Utilities","Equity","2,819,223.59","0.06","2,819,223.59","120,149.00","23.46","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"GLW","CORNING INC","Information Technology","Equity","2,813,824.56","0.06","2,813,824.56","53,373.00","52.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","2,799,817.27","0.06","2,799,817.27","9,907.00","282.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","2,786,886.27","0.06","2,786,886.27","8,451.00","329.77","United States","NASDAQ","USD","1.00","USD","-"
"HES","HESS CORP","Energy","Equity","2,782,422.24","0.06","2,782,422.24","19,387.00","143.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLEN","GLENCORE PLC","Materials","Equity","2,778,071.08","0.06","2,778,071.08","667,868.00","4.16","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","2,767,298.54","0.06","2,767,298.54","11,554.00","239.51","United States","NASDAQ","USD","1.00","USD","-"
"ADS","ADIDAS N AG","Consumer Discretionary","Equity","2,754,625.13","0.06","2,754,625.13","11,238.00","245.12","Germany","Xetra","USD","0.85","EUR","-"
"AME","AMETEK INC","Industrials","Equity","2,752,416.76","0.06","2,752,416.76","15,124.00","181.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRSK","VERISK ANALYTICS INC","Industrials","Equity","2,750,950.93","0.05","2,750,950.93","9,133.00","301.21","United States","NASDAQ","USD","1.00","USD","-"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","2,742,469.71","0.05","2,742,469.71","128,200.00","21.39","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"7741","HOYA CORP","Health Care","Equity","2,739,829.89","0.05","2,739,829.89","23,800.00","115.12","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","2,739,883.92","0.05","2,739,883.92","18,244.00","150.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","2,739,222.03","0.05","2,739,222.03","7,977.00","343.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIKA","SIKA AG","Materials","Equity","2,712,395.24","0.05","2,712,395.24","10,010.00","270.97","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"EOAN","E.ON N","Utilities","Equity","2,707,243.93","0.05","2,707,243.93","147,617.00","18.34","Germany","Xetra","USD","0.85","EUR","-"
"GLE","SOCIETE GENERALE SA","Financials","Equity","2,697,735.75","0.05","2,697,735.75","47,337.00","56.99","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","2,689,305.55","0.05","2,689,305.55","30,084.00","89.39","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","2,669,515.20","0.05","2,669,515.20","127,728.00","20.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","2,659,011.42","0.05","2,659,011.42","25,738.00","103.31","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","2,650,208.60","0.05","2,650,208.60","32,630.00","81.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","2,650,497.45","0.05","2,650,497.45","19,545.00","135.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","2,635,900.54","0.05","2,635,900.54","16,273.00","161.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","2,619,279.75","0.05","2,619,279.75","32,639.00","80.25","United States","NASDAQ","USD","1.00","USD","-"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","2,615,043.22","0.05","2,615,043.22","114,200.00","22.90","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"IFC","INTACT FINANCIAL CORP","Financials","Equity","2,607,568.73","0.05","2,607,568.73","11,521.00","226.33","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"6702","FUJITSU LTD","Information Technology","Equity","2,603,914.60","0.05","2,603,914.60","110,400.00","23.59","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","2,602,813.32","0.05","2,602,813.32","35,577.00","73.16","United States","NASDAQ","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","2,594,541.80","0.05","2,594,541.80","7,570.00","342.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSCO","TESCO PLC","Consumer Staples","Equity","2,580,599.83","0.05","2,580,599.83","479,638.00","5.38","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","2,579,828.93","0.05","2,579,828.93","64,771.00","39.83","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","2,574,192.79","0.05","2,574,192.79","16,393.00","157.03","United States","NASDAQ","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","2,571,546.60","0.05","2,571,546.60","25,767.00","99.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Consumer Staples","Equity","2,560,813.48","0.05","2,560,813.48","61,526.00","41.62","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"HOLN","HOLCIM LTD AG","Materials","Equity","2,552,282.41","0.05","2,552,282.41","34,024.00","75.01","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","2,551,064.88","0.05","2,551,064.88","6,188.00","412.26","United States","NASDAQ","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","2,541,472.08","0.05","2,541,472.08","37,618.00","67.56","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","2,537,514.00","0.05","2,537,514.00","20,550.00","123.48","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","2,531,778.00","0.05","2,531,778.00","23,300.00","108.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","2,525,491.70","0.05","2,525,491.70","36,485.00","69.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WKL","WOLTERS KLUWER NV","Industrials","Equity","2,521,690.29","0.05","2,521,690.29","15,551.00","162.16","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"NDAQ","NASDAQ INC","Financials","Equity","2,516,228.16","0.05","2,516,228.16","28,108.00","89.52","United States","NASDAQ","USD","1.00","USD","-"
"ATD","ALIMENTATION COUCHE TARD INC","Consumer Staples","Equity","2,515,795.77","0.05","2,515,795.77","50,101.00","50.21","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Financials","Equity","2,514,088.98","0.05","2,514,088.98","1,426.00","1,763.04","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","2,506,575.06","0.05","2,506,575.06","33,077.00","75.78","United States","NASDAQ","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","2,490,265.44","0.05","2,490,265.44","32,058.00","77.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOL","DOLLARAMA INC","Consumer Discretionary","Equity","2,482,249.31","0.05","2,482,249.31","17,875.00","138.87","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"DDOG","DATADOG INC CLASS A","Information Technology","Equity","2,478,783.60","0.05","2,478,783.60","18,360.00","135.01","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","2,467,450.84","0.05","2,467,450.84","9,643.00","255.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","2,456,781.60","0.05","2,456,781.60","3,214.00","764.40","United States","NASDAQ","USD","1.00","USD","-"
"AMS","AMADEUS IT GROUP SA","Consumer Discretionary","Equity","2,438,108.98","0.05","2,438,108.98","29,397.00","82.94","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"ABX","BARRICK MINING CORP","Materials","Equity","2,434,361.86","0.05","2,434,361.86","115,153.00","21.14","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","2,414,499.32","0.05","2,414,499.32","13,894.00","173.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","2,402,941.80","0.05","2,402,941.80","11,235.00","213.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","2,393,653.02","0.05","2,393,653.02","13,449.00","177.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CABK","CAIXABANK SA","Financials","Equity","2,391,565.55","0.05","2,391,565.55","273,312.00","8.75","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"ENI","ENI","Energy","Equity","2,386,187.57","0.05","2,386,187.57","145,090.00","16.45","Italy","Borsa Italiana","USD","0.85","EUR","-"
"3382","SEVEN & I HOLDINGS LTD","Consumer Staples","Equity","2,374,704.39","0.05","2,374,704.39","148,800.00","15.96","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"2914","JAPAN TOBACCO INC","Consumer Staples","Equity","2,367,071.69","0.05","2,367,071.69","80,500.00","29.40","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","2,364,984.55","0.05","2,364,984.55","47,900.00","49.37","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"STAN","STANDARD CHARTERED PLC","Financials","Equity","2,351,240.34","0.05","2,351,240.34","144,925.00","16.22","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"SLF","SUN LIFE FINANCIAL INC","Financials","Equity","2,337,632.32","0.05","2,337,632.32","36,272.00","64.45","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","2,327,971.80","0.05","2,327,971.80","18,942.00","122.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","2,313,048.75","0.05","2,313,048.75","26,725.00","86.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","2,311,942.71","0.05","2,311,942.71","8,701.00","265.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UMG","UNIVERSAL MUSIC GROUP NV","Communication","Equity","2,296,983.04","0.05","2,296,983.04","72,591.00","31.64","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","2,294,762.72","0.05","2,294,762.72","22,966.00","99.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","2,280,702.39","0.05","2,280,702.39","68,469.00","33.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","2,279,185.04","0.05","2,279,185.04","29,942.00","76.12","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","2,272,245.97","0.05","2,272,245.97","20,753.00","109.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"U11","UNITED OVERSEAS BANK LTD","Financials","Equity","2,270,786.44","0.05","2,270,786.44","80,300.00","28.28","Singapore","Singapore Exchange","USD","1.27","SGD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","2,270,256.21","0.05","2,270,256.21","10,639.00","213.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TEAM","ATLASSIAN CORP CLASS A","Information Technology","Equity","2,269,203.72","0.05","2,269,203.72","10,974.00","206.78","United States","NASDAQ","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","2,268,014.80","0.05","2,268,014.80","27,890.00","81.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","2,262,616.32","0.05","2,262,616.32","18,752.00","120.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6367","DAIKIN INDUSTRIES LTD","Industrials","Equity","2,261,360.87","0.05","2,261,360.87","18,500.00","122.24","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","2,253,236.38","0.05","2,253,236.38","73,231.00","30.77","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"MTB","M&T BANK CORP","Financials","Equity","2,228,068.22","0.04","2,228,068.22","11,137.00","200.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARGX","ARGENX","Health Care","Equity","2,199,732.67","0.04","2,199,732.67","3,996.00","550.48","Belgium","Nyse Euronext - Euronext Brussels","USD","0.85","EUR","-"
"9432","NTT INC","Communication","Equity","2,198,107.62","0.04","2,198,107.62","2,035,900.00","1.08","Japan","Tokyo Stock Exchange","USD","144.03","JPY","-"
"NUE","NUCOR CORP","Materials","Equity","2,182,046.04","0.04","2,182,046.04","15,714.00","138.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","2,180,825.00","0.04","2,180,825.00","21,020.00","103.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"G","ASSICURAZIONI GENERALI","Financials","Equity","2,171,280.26","0.04","2,171,280.26","61,505.00","35.30","Italy","Borsa Italiana","USD","0.85","EUR","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","2,169,833.75","0.04","2,169,833.75","12,775.00","169.85","United States","NASDAQ","USD","1.00","USD","-"
"LR","LEGRAND SA","Industrials","Equity","2,167,690.70","0.04","2,167,690.70","16,418.00","132.03","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","2,160,479.70","0.04","2,160,479.70","26,535.00","81.42","United States","NASDAQ","USD","1.00","USD","-"
