iShares MSCI World ETF
Fund Holdings as of,"Jul 02, 2025"
Inception Date,"Jan 10, 2012"
Shares Outstanding,"29,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRM","SALESFORCE INC","Information Technology","Equity","17,069,260.05","0.34","17,069,260.05","63,405.00","269.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","16,201,294.34","0.32","16,201,294.34","109,483.00","147.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOVN","NOVARTIS AG","Health Care","Equity","15,560,735.37","0.31","15,560,735.37","125,436.00","124.05","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","15,387,244.96","0.31","15,387,244.96","114,736.00","134.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","15,195,255.40","0.30","15,195,255.40","46,354.00","327.81","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"LIN","LINDE PLC","Materials","Equity","14,895,815.89","0.30","14,895,815.89","31,217.00","477.17","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","14,834,106.80","0.30","14,834,106.80","107,090.00","138.52","United States","NASDAQ","USD","1.00","USD","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","14,816,085.41","0.30","14,816,085.41","212,761.00","69.64","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.34","DKK","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","14,705,812.38","0.29","14,705,812.38","20,542.00","715.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","14,674,957.44","0.29","14,674,957.44","119,328.00","122.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","14,345,670.22","0.29","14,345,670.22","101,572.00","141.24","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"INTU","INTUIT INC","Information Technology","Equity","14,259,291.00","0.29","14,259,291.00","18,430.00","773.70","United States","NASDAQ","USD","1.00","USD","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","14,258,004.16","0.29","14,258,004.16","1,184,778.00","12.03","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 01, 1998"
"SHEL","SHELL PLC","Energy","Equity","14,041,759.69","0.28","14,041,759.69","394,944.00","35.55","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","13,907,419.89","0.28","13,907,419.89","47,203.00","294.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","13,791,302.08","0.28","13,791,302.08","13,658.00","1,009.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","13,683,743.15","0.27","13,683,743.15","166,085.00","82.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","13,363,367.47","0.27","13,363,367.47","472,037.00","28.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","13,323,144.33","0.27","13,323,144.33","110,518.00","120.55","Australia","Asx - All Markets","USD","1.52","AUD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","12,956,312.23","0.26","12,956,312.23","60,097.00","215.59","United States","NASDAQ","USD","1.00","USD","-"
"SIE","SIEMENS N AG","Industrials","Equity","12,914,831.25","0.26","12,914,831.25","50,000.00","258.30","Germany","Xetra","USD","0.85","EUR","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","12,778,702.80","0.26","12,778,702.80","23,638.00","540.60","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","12,761,838.60","0.26","12,761,838.60","88,305.00","144.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","12,669,277.14","0.25","12,669,277.14","31,798.00","398.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","12,539,593.78","0.25","12,539,593.78","41,482.00","302.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","12,452,643.84","0.25","12,452,643.84","2,184.00","5,701.76","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","12,363,996.16","0.25","12,363,996.16","90,592.00","136.48","United States","NASDAQ","USD","1.00","USD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","12,140,212.69","0.24","12,140,212.69","92,955.00","130.60","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","12,076,304.37","0.24","12,076,304.37","277,043.00","43.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","12,025,428.52","0.24","12,025,428.52","36,932.00","325.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
